Transcript_ID,Gene_ID
mRNA443,mRNA443
mRNA444,mRNA444
mRNA445,mRNA445
mRNA446,mRNA446
mRNA447,mRNA447
mRNA448,mRNA448
mRNA449,mRNA449
mRNA450,mRNA450
mRNA451,mRNA451
mRNA452,mRNA452
mRNA453,mRNA453
mRNA454,mRNA454
mRNA455,mRNA455
mRNA456,mRNA456
mRNA457,mRNA457
mRNA458,mRNA458
mRNA459,mRNA459
mRNA460,mRNA460
mRNA461,mRNA461
mRNA462,mRNA462
mRNA463,mRNA463
mRNA464,mRNA464
mRNA465,mRNA465
mRNA466,mRNA466
mRNA467,mRNA467
mRNA468,mRNA468
mRNA469,mRNA469
mRNA470,mRNA470
mRNA471,mRNA471
mRNA472,mRNA472
mRNA473,mRNA473
mRNA474,mRNA474
mRNA475,mRNA475
mRNA476,mRNA476
mRNA477,mRNA477
mRNA478,mRNA478
mRNA479,mRNA479
mRNA480,mRNA480
mRNA481,mRNA481
mRNA482,mRNA482
mRNA483,mRNA483
mRNA484,mRNA484
mRNA485,mRNA485
mRNA486,mRNA486
mRNA487,mRNA487
mRNA488,mRNA488
mRNA489,mRNA489
mRNA490,mRNA490
mRNA491,mRNA491
mRNA492,mRNA492
mRNA493,mRNA493
mRNA494,mRNA494
mRNA495,mRNA495
mRNA496,mRNA496
mRNA497,mRNA497
mRNA498,mRNA498
mRNA499,mRNA499
mRNA500,mRNA500
mRNA501,mRNA501
mRNA502,mRNA502
mRNA503,mRNA503
mRNA504,mRNA504
mRNA505,mRNA505
mRNA506,mRNA506
mRNA507,mRNA507
mRNA508,mRNA508
mRNA509,mRNA509
mRNA510,mRNA510
mRNA511,mRNA511
mRNA512,mRNA512
mRNA513,mRNA513
mRNA514,mRNA514
mRNA515,mRNA515
mRNA516,mRNA516
mRNA517,mRNA517
mRNA518,mRNA518
mRNA519,mRNA519
mRNA520,mRNA520
mRNA521,mRNA521
mRNA522,mRNA522
mRNA523,mRNA523
mRNA524,mRNA524
mRNA525,mRNA525
mRNA526,mRNA526
mRNA527,mRNA527
mRNA528,mRNA528
mRNA529,mRNA529
mRNA530,mRNA530
mRNA531,mRNA531
mRNA532,mRNA532
